seed,variable,mean_weight
1,LBXHXCLA,0.21154615685799252
1,LBXF03LA,0.1805034245904564
1,LBXF04LA,0.11249456035917692
1,LBXPCBLA,0.09950622705615723
1,LBX099LA,0.08561698077237476
1,LBX118LA,0.06402829166301188
1,LBXF08LA,0.06282420058769451
1,LBX194LA,0.05405376608020839
1,LBX153LA,0.028060549736384947
1,LBXD07LA,0.02745101230988283
1,LBXD05LA,0.024513060829369944
1,LBX138LA,0.01794120242858895
1,LBXF05LA,0.01088406548444643
1,LBX187LA,0.007925796218618188
1,LBX074LA,0.00705758316182502
1,LBX170LA,0.0033586541193689097
1,LBXD03LA,0.0016787254772812712
1,LBX180LA,5.557422671609065e-4
2,LBXF03LA,0.348709905350594
2,LBXF08LA,0.19891893241754297
2,LBXPCBLA,0.12966878229313059
2,LBX099LA,0.11770364705887211
2,LBX118LA,0.10378584859701237
2,LBXF04LA,0.03658130652793256
2,LBXF05LA,0.03457729270520259
2,LBX074LA,0.008380421108133947
2,LBX138LA,0.008203974399000162
2,LBXD03LA,0.006339516297419536
2,LBXD05LA,0.004990378189112663
2,LBX187LA,0.0014017897520776429
2,LBX153LA,4.5402585317943226e-4
2,LBXD07LA,2.834870287451313e-4
2,LBXHXCLA,3.6791133479898615e-7
2,LBX170LA,1.3038087525259915e-7
2,LBX180LA,1.0831149792612324e-7
2,LBX194LA,8.581833615573869e-8
3,LBXF03LA,0.4796723069197356
3,LBX099LA,0.13686989496169621
3,LBX118LA,0.10384672860758766
3,LBXD03LA,0.08047073662861859
3,LBXF08LA,0.06499702365324916
3,LBX074LA,0.038266455730367174
3,LBXPCBLA,0.029464304904149315
3,LBXHXCLA,0.02022207221162634
3,LBXD07LA,0.016820147581720908
3,LBXF05LA,0.008158245666428409
3,LBX187LA,0.004933254494826753
3,LBX194LA,0.003959594016962384
3,LBXD05LA,0.0031542175300023974
3,LBX138LA,0.002429696201443095
3,LBX180LA,0.0016839751441515797
3,LBX153LA,0.0016838977033020524
3,LBX170LA,0.001683767804749499
3,LBXF04LA,0.001683680239382809
4,LBXF03LA,0.3544268340679316
4,LBX187LA,0.13889412936753753
4,LBXHXCLA,0.1188444653998336
4,LBXD03LA,0.07946147776790335
4,LBX099LA,0.07923903069847826
4,LBXPCBLA,0.0791018166172152
4,LBXF08LA,0.05024187082460151
4,LBX118LA,0.04118044502422037
4,LBXF04LA,0.02686711308858092
4,LBXD07LA,0.014549704629180557
4,LBXF05LA,0.0059577016120375414
4,LBX074LA,0.0042674366047042904
4,LBXD05LA,0.00403149281065679
4,LBX138LA,6.44566626719691e-4
4,LBX170LA,5.730162081986796e-4
4,LBX153LA,5.729937529156848e-4
4,LBX194LA,5.729673046407541e-4
4,LBX180LA,5.729375946433502e-4
5,LBXPCBLA,0.2404523190236306
5,LBXHXCLA,0.16900975953420908
5,LBXF03LA,0.14810519771692982
5,LBX099LA,0.11207649512108545
5,LBXF08LA,0.09589191927405004
5,LBXD05LA,0.07566399977219088
5,LBXF04LA,0.06489771928665591
5,LBX118LA,0.04089259831874356
5,LBXD07LA,0.021258869966957243
5,LBXD03LA,0.01593938364644934
5,LBX194LA,0.005714721928296268
5,LBXF05LA,0.0041053139974540145
5,LBX170LA,0.0024520811112888593
5,LBX187LA,7.616338136858218e-4
5,LBX138LA,6.945114378066465e-4
5,LBX074LA,6.944983719246004e-4
5,LBX153LA,6.944929382549251e-4
5,LBX180LA,6.944847403869234e-4
6,LBXPCBLA,0.3262235525106081
6,LBXF03LA,0.2945734009813774
6,LBXF05LA,0.0821527770508542
6,LBX099LA,0.07955477638564831
6,LBX138LA,0.05976008072186492
6,LBX118LA,0.040979426365259336
6,LBX194LA,0.025900715810949732
6,LBXF04LA,0.025749116123559197
6,LBXHXCLA,0.01870534888704253
6,LBXF08LA,0.01653082033027742
6,LBX153LA,0.008959516284346332
6,LBX074LA,0.006413522128988537
6,LBXD03LA,0.004869101142791227
6,LBXD05LA,0.002647658625443379
6,LBX187LA,0.001979516353028141
6,LBX170LA,0.0016669494600581
6,LBX180LA,0.0016669483833183214
6,LBXD07LA,0.0016667724545848409
7,LBXF03LA,0.3302690807496529
7,LBXPCBLA,0.2430889873771231
7,LBXHXCLA,0.18600888012409558
7,LBX118LA,0.09323999207838328
7,LBX170LA,0.05945886579123393
7,LBX153LA,0.029365898844320625
7,LBXD03LA,0.01593009047617035
7,LBX194LA,0.010035273596701737
7,LBXF04LA,0.006975278971774629
7,LBX187LA,0.00689657767946452
7,LBX074LA,0.0056413236720178435
7,LBXF05LA,0.005399583676102844
7,LBXF08LA,0.0020493422173863767
7,LBXD07LA,0.0019308199636861665
7,LBX099LA,0.0019300561078124602
7,LBX138LA,5.974386542552538e-4
7,LBX180LA,5.913765610039121e-4
7,LBXD05LA,5.911334588135573e-4
8,LBXF04LA,0.30483059791569056
8,LBXF08LA,0.17833774212996495
8,LBXF03LA,0.09537147309541542
8,LBX074LA,0.08046235008690711
8,LBXD03LA,0.06980593855511016
8,LBX194LA,0.06239982500048042
8,LBX118LA,0.061017376139070795
8,LBXPCBLA,0.051143184921061735
8,LBXD07LA,0.04080668702896843
8,LBX099LA,0.015583206742757674
8,LBXHXCLA,0.015419134365952101
8,LBXF05LA,0.006177107014811361
8,LBX153LA,0.005472775384676203
8,LBX187LA,0.00524884062090658
8,LBXD05LA,0.004149048364623694
8,LBX180LA,0.0025757119589632544
8,LBX170LA,6.377264837882968e-4
8,LBX138LA,5.612741908512824e-4
9,LBXPCBLA,0.31523331956656603
9,LBX074LA,0.1302997608779618
9,LBX118LA,0.12258831312141773
9,LBXF08LA,0.08382404747097516
9,LBXF03LA,0.06388425753814164
9,LBX099LA,0.059621042813213586
9,LBXD05LA,0.04864215151690829
9,LBXHXCLA,0.04776537732319093
9,LBX194LA,0.03826963645990451
9,LBXF04LA,0.03155099832444176
9,LBX138LA,0.013355807592245642
9,LBXF05LA,0.01236498752030453
9,LBX170LA,0.009941506819174719
9,LBXD07LA,0.007695566409189043
9,LBX187LA,0.0065751188425672525
9,LBXD03LA,0.003516432254903397
9,LBX153LA,0.0032048191793494834
9,LBX180LA,0.0016668563695442947
10,LBXF04LA,0.2683221621758416
10,LBXF08LA,0.12129440146870422
10,LBXPCBLA,0.1052869838894683
10,LBX074LA,0.09261050688105384
10,LBX118LA,0.08328595804289463
10,LBX099LA,0.08030760276459196
10,LBXHXCLA,0.07236509298082848
10,LBXF03LA,0.03913367315324392
10,LBXD03LA,0.03778410011590701
10,LBXF05LA,0.027171720659848974
10,LBX194LA,0.026960352166297465
10,LBX170LA,0.018738539781158164
10,LBX153LA,0.011484879700340837
10,LBX138LA,0.006144925669466316
10,LBXD05LA,0.004368701354711581
10,LBX187LA,0.003011607242361907
10,LBXD07LA,0.001321253442081362
10,LBX180LA,4.0753851119857613e-4
11,LBXF08LA,0.2302750216165537
11,LBXF03LA,0.18889141904631807
11,LBXHXCLA,0.17499655096097635
11,LBXPCBLA,0.07543058111845888
11,LBXD07LA,0.05613926996760895
11,LBX138LA,0.053517127216664774
11,LBX099LA,0.0508890646412302
11,LBX074LA,0.04130227271937076
11,LBX118LA,0.03414157384179905
11,LBXF05LA,0.0319645438734872
11,LBXD05LA,0.028742702087220583
11,LBX153LA,0.01398011478183408
11,LBX194LA,0.009857888856228033
11,LBX187LA,0.00907296236319978
11,LBXF04LA,5.648687382567636e-4
11,LBX170LA,2.338996294720853e-4
11,LBX180LA,8.162349484127415e-8
11,LBXD03LA,5.691782590522004e-8
12,LBXPCBLA,0.2794674064718879
12,LBXF03LA,0.2139693347709313
12,LBX074LA,0.16834464916908798
12,LBX138LA,0.05865263101678688
12,LBXD05LA,0.05446801379684875
12,LBX187LA,0.0417659939984425
12,LBXF04LA,0.03625034433335851
12,LBX099LA,0.034472301334636114
12,LBX153LA,0.03429166699750961
12,LBXF08LA,0.01830904752967503
12,LBX170LA,0.015570162343175412
12,LBXD07LA,0.011853774776975643
12,LBX118LA,0.011052005905170971
12,LBXHXCLA,0.009077745436091137
12,LBXD03LA,0.005223988426866876
12,LBX180LA,0.003550834976211209
12,LBXF05LA,0.0024810718561325026
12,LBX194LA,0.0011990268602116725
13,LBXF03LA,0.1755091914822657
13,LBXPCBLA,0.17259382654356792
13,LBX153LA,0.11353624019964499
13,LBXHXCLA,0.10167515556849893
13,LBX138LA,0.09146511772049373
13,LBX118LA,0.0579687444696329
13,LBXF08LA,0.043047322621336905
13,LBX099LA,0.040443078768624706
13,LBX180LA,0.04034728234600136
13,LBXF05LA,0.03840412692349741
13,LBXF04LA,0.03627521117130624
13,LBXD05LA,0.03498201900447424
13,LBX194LA,0.020214455563571137
13,LBX074LA,0.014759454480659047
13,LBX170LA,0.010163489639629352
13,LBXD03LA,0.0037536740655557854
13,LBXD07LA,0.002457638755717559
13,LBX187LA,0.002403970675522082
14,LBX194LA,0.2186524987306912
14,LBX074LA,0.20394813669160824
14,LBXF03LA,0.18338369306794428
14,LBX099LA,0.1028548086023186
14,LBXPCBLA,0.07502531479657748
14,LBXF08LA,0.05528502884404444
14,LBX118LA,0.03962218365422563
14,LBXHXCLA,0.03181170082134035
14,LBXD03LA,0.023498274958024378
14,LBX153LA,0.021948680189776144
14,LBX170LA,0.016748728326784444
14,LBXF04LA,0.016635131878406574
14,LBX187LA,0.004344557482199917
14,LBX138LA,0.002392945415790107
14,LBXD07LA,0.0021643738841654954
14,LBX180LA,5.614375833578049e-4
14,LBXF05LA,5.61269235266328e-4
14,LBXD05LA,5.612358374785911e-4
15,LBXPCBLA,0.4110653977191228
15,LBX099LA,0.15220561930594576
15,LBXHXCLA,0.07263159841264998
15,LBX153LA,0.06986807955739192
15,LBXF08LA,0.06080340759093801
15,LBX138LA,0.052651266264279885
15,LBXF03LA,0.04357506927280591
15,LBXD07LA,0.04014018095935988
15,LBXD03LA,0.02395060729807097
15,LBX194LA,0.01674579884622534
15,LBXD05LA,0.01446094028104992
15,LBX074LA,0.012669927446565027
15,LBXF05LA,0.008818138430434393
15,LBX118LA,0.008808894583950998
15,LBX170LA,0.005256202059149334
15,LBXF04LA,0.002876068446869193
15,LBX180LA,0.0017364628639663152
15,LBX187LA,0.0017363406612277415
16,LBXF03LA,0.34154919280313395
16,LBX194LA,0.11782451169582411
16,LBX118LA,0.11675325842284572
16,LBX187LA,0.09297649627926875
16,LBXPCBLA,0.05747604666316696
16,LBXF05LA,0.04899546563991906
16,LBX153LA,0.04637482120311016
16,LBX074LA,0.04229499187833542
16,LBX138LA,0.03631765107606102
16,LBX099LA,0.03371303791454466
16,LBXHXCLA,0.02866674340105173
16,LBXF08LA,0.014994101156697807
16,LBX180LA,0.010611444411954649
16,LBX170LA,0.004734676048627532
16,LBXD05LA,0.004176328227107701
16,LBXF04LA,0.0013955559582570036
16,LBXD03LA,5.728864426565245e-4
16,LBXD07LA,5.727907774372531e-4
17,LBXF03LA,0.41904932946267603
17,LBX099LA,0.1907213544380339
17,LBXD05LA,0.07880788730504071
17,LBXF08LA,0.06815608926044495
17,LBXHXCLA,0.0656399646124601
17,LBXF04LA,0.048780795451109506
17,LBXD07LA,0.034240045047444885
17,LBXPCBLA,0.026294538444327928
17,LBX118LA,0.025982394046944295
17,LBXD03LA,0.013873570660534068
17,LBX194LA,0.007602323840802692
17,LBXF05LA,0.005341962030272761
17,LBX138LA,0.004917253590059973
17,LBX074LA,0.0038080974796981006
17,LBX170LA,0.003046623068986153
17,LBX180LA,0.0014924790547057383
17,LBX153LA,0.001122760651075991
17,LBX187LA,0.0011225315553822308
18,LBXF03LA,0.2757780009154343
18,LBX118LA,0.2578766692272872
18,LBXF08LA,0.19134525792658516
18,LBX153LA,0.05165185528085361
18,LBX074LA,0.05093019716328172
18,LBX099LA,0.050011248319128836
18,LBX194LA,0.0337080001844638
18,LBXPCBLA,0.03241358394948239
18,LBX138LA,0.022281341636277287
18,LBXHXCLA,0.01886239080739351
18,LBXF04LA,0.007649939937675195
18,LBX187LA,0.0033873027602206287
18,LBXF05LA,0.0019378738303531251
18,LBXD05LA,0.001595893982209968
18,LBX180LA,5.702832807228773e-4
18,LBXD03LA,7.381308290195536e-8
18,LBX170LA,6.674162211153921e-8
18,LBXD07LA,2.0243924352893697e-8
19,LBX099LA,0.3436038417060927
19,LBXF03LA,0.17415147412100668
19,LBXF08LA,0.11498805177348338
19,LBX118LA,0.0869757430239225
19,LBXHXCLA,0.07597196161154773
19,LBX180LA,0.05717038508798201
19,LBX074LA,0.0348777555934306
19,LBXPCBLA,0.02872651963477318
19,LBX138LA,0.028422428726695
19,LBX194LA,0.021448637225883846
19,LBXF04LA,0.015999957897239146
19,LBXF05LA,0.00992888343132362
19,LBXD05LA,0.0026525372479056885
19,LBXD07LA,0.002202802932416252
19,LBX153LA,0.0020386443579418737
19,LBXD03LA,8.400495188454917e-4
19,LBX187LA,1.7476803911832754e-7
19,LBX170LA,1.5134147090153982e-7
20,LBXPCBLA,0.2353903253932962
20,LBXHXCLA,0.16480783121533513
20,LBXF03LA,0.1282690317714589
20,LBXD03LA,0.07214885278257206
20,LBXF08LA,0.07160107025422274
20,LBX074LA,0.06978783592464524
20,LBX099LA,0.06390853897266366
20,LBXF05LA,0.06381471310561002
20,LBX118LA,0.06255418177532394
20,LBXF04LA,0.03288287945403542
20,LBX194LA,0.028430650247067143
20,LBXD05LA,0.0063326564792113285
20,LBX138LA,7.072170328782928e-5
20,LBX170LA,1.9062987013788633e-7
20,LBX153LA,1.7143398723823895e-7
20,LBX180LA,1.4429171334336722e-7
20,LBX187LA,1.1675280906194003e-7
20,LBXD07LA,8.781289060459918e-8
21,LBXF03LA,0.3023658857791515
21,LBX118LA,0.22304418136991774
21,LBXHXCLA,0.11266713005116642
21,LBXF08LA,0.1047890464560714
21,LBXPCBLA,0.08544822093266241
21,LBX194LA,0.04075679502098791
21,LBX099LA,0.02696350950670835
21,LBXD05LA,0.022859118407815418
21,LBX138LA,0.01923355014774969
21,LBX187LA,0.015223025599644729
21,LBX153LA,0.011240161993992982
21,LBX170LA,0.01085704466292699
21,LBXF04LA,0.010172346253937441
21,LBXD03LA,0.005289966827683845
21,LBX074LA,0.0042272805418079856
21,LBXD07LA,0.0025946266602825396
21,LBX180LA,0.0011341395708659955
21,LBXF05LA,0.0011339702166238072
22,LBXF08LA,0.23017659175694885
22,LBXD03LA,0.14179888815549613
22,LBX074LA,0.09743433153037294
22,LBXF04LA,0.09260738405487778
22,LBX118LA,0.08487425912120622
22,LBXPCBLA,0.08285135334283891
22,LBX099LA,0.07667172769935476
22,LBXHXCLA,0.051162088086319994
22,LBX194LA,0.04142917140019968
22,LBXF03LA,0.03266319994105412
22,LBX153LA,0.024115425013178225
22,LBXD07LA,0.02335617537905649
22,LBXD05LA,0.008426217462328238
22,LBX187LA,0.006166284162849295
22,LBXF05LA,0.0029441703334856786
22,LBX180LA,0.0017056010448366322
22,LBX138LA,0.0014775105102842055
22,LBX170LA,1.3962100531185955e-4
23,LBXF03LA,0.268802213152237
23,LBX099LA,0.1769627608760285
23,LBXHXCLA,0.16045033911723533
23,LBX118LA,0.09996262105023013
23,LBXF04LA,0.0649047590717751
23,LBX074LA,0.04268258014649869
23,LBX194LA,0.041539007386879545
23,LBXPCBLA,0.028376052835640576
23,LBX153LA,0.02800733097260589
23,LBXF08LA,0.023160897806989548
23,LBXD03LA,0.016792596523317667
23,LBX138LA,0.012952116724170525
23,LBX170LA,0.01107846762549249
23,LBXD07LA,0.007244724509330547
23,LBXD05LA,0.006563307353090971
23,LBX187LA,0.005839844097857091
23,LBXF05LA,0.0025968337095836733
23,LBX180LA,0.0020835470410367346
24,LBXF03LA,0.21411929328904122
24,LBXHXCLA,0.21287778694549486
24,LBX138LA,0.21094863014172072
24,LBXPCBLA,0.10557461798012963
24,LBX099LA,0.06456319207074135
24,LBX194LA,0.05326987421584773
24,LBXF08LA,0.051394089249574615
24,LBXF05LA,0.04229824855926079
24,LBXF04LA,0.01158765166072059
24,LBX187LA,0.0067027050288921315
24,LBX153LA,0.005526496951114442
24,LBX170LA,0.005352889868407666
24,LBXD05LA,0.005300124037891531
24,LBXD03LA,0.0038006814133099667
24,LBX118LA,0.0030187241663430136
24,LBX074LA,0.0017935454032143136
24,LBXD07LA,0.0010031171303254787
24,LBX180LA,8.683318879791682e-4
25,LBXF03LA,0.37680622794525714
25,LBX194LA,0.11454275916641952
25,LBX118LA,0.09662569778343028
25,LBXHXCLA,0.09327203005735402
25,LBXF08LA,0.0928463215157906
25,LBXPCBLA,0.07259620560911405
25,LBX074LA,0.06247741358472115
25,LBXF05LA,0.02786035671170266
25,LBXF04LA,0.022018852713817115
25,LBXD03LA,0.01678466933310108
25,LBX099LA,0.012422449613256918
25,LBX170LA,0.004368784207990267
25,LBXD05LA,0.0015809345597964477
25,LBX187LA,0.0013523832390150267
25,LBX153LA,0.0011112886992343486
25,LBX180LA,0.0011112477466613628
25,LBX138LA,0.0011112288158613849
25,LBXD07LA,0.0011111486974767716
26,LBXF03LA,0.5050012814506644
26,LBX099LA,0.13472493615628794
